id_projeto,desc_nome,situacao,organizacao_resp,valor_investimento_previsto,qtd_investimentos_previstos,somente_investimento_001,dt_inicial_prevista,dt_final_prevista,natureza_intervencao,especie_intervencao,sistema_resp,latitude_representativa_publica,longitude_representativa_publica,qtd_coordenadas_encontradas
102658.42-61,Execução de obra de pavimentação asfáltica com drenagem e sinalização em via municipal destinada ao escoamento da produção e melhoria da mobilidade local.,Cadastrada,MINISTERIO DA ECONOMIA,2929834.75,1,False,2025-12-01,2028-12-01,Obra,Construção,Transferegov.br,-26.90062,-49.35541,1
106148.42-81,2025 IFSC GPB - CONSTRUÇÃO DO REFEITÓRIO DO CÂMPUS GAROPABA DO IFSC,Cadastrada,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",1696643.96,1,False,2026-02-02,2026-04-30,Obra,Construção,CIPI,-28.0989102625337,-48.6750863425893,1
127694.42-24,Sedec - Recuperação de Infraestrutura afetada por desastre 59050.000917/2009-16,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,164572.91,1,False,2009-06-02,2010-05-27,Obra,Recuperação,CIPI,-27.7758500242017,-48.95649,1
67335.42-63,658640 - Esc. Educ. Infantil - Tipo C - ITAIOPOLIS/SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,6456.5,1,False,2010-08-06,2011-03-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
63566.42-21,CONSTRUÇÃO DE UNIDADE BÁSICA DE SAÚDE,Em execução,FUNDO NACIONAL DE SAUDE,2026110.0,1,False,2025-06-05,2028-06-10,Obra,Construção,SISMOB,-28.39004,-49.39218,1
5467.42-83,Sedec - Recuperação de Infraestrutura afetada por desastre 59053.004631/2021-68,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,362129.18,1,False,2021-11-04,2023-03-31,Obra,Recuperação,CIPI,-27.9041100244202,-49.12873,1
88345.42-90,00 00194/2004,Concluída,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,206920972.73,1,False,2004-12-04,2012-05-01,Obra,Construção,SUPRA,-27.5969,-48.5495,1
118996.42-06,Construção de quadra sintética poliesportiva e piscina de natação no município de Arabutã - SC,Concluída,MINISTERIO DA ECONOMIA,1153074.2,1,False,2021-12-28,2025-05-13,Obra,Construção,CIPI,,,0
106211.42-61,Construção da Ponte Garuvinha (divisa Luiz Alves x Navegantes),Cadastrada,MINISTERIO DA ECONOMIA,1458836.3,1,False,2025-12-22,2028-08-22,Obra,Construção,Transferegov.br,-26.76784,-48.8122,1
87928.42-84,Reforma CEI Cantinho da Pedrita - Itá - SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2022-12-07,2023-08-04,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
111412.42-50,Sedec - Recuperação de Infraestrutura afetada por desastre SEI  59050.000474/2015-01,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,42413.0,1,False,2015-06-19,2016-03-14,Obra,Recuperação,CIPI,-26.8725000226614,-52.03667,1
127518.42-08,Sedec - Execução de obras e serviços em áreas de risco de desastres com caráter preventivo que visem evitar ou reduzir os danos decorrentes de possíveis desastres 59000.000652/2000-03,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,10292.0,1,False,2000-11-16,2004-05-23,Obra,Construção,CIPI,-27.1477000231306,-50.8282,1
119797.42-95,PAVIMENTAÇÃO ASFÁLTICA EM RUAS DE NOVA ERECHIM/SC,Em execução,MINISTERIO DA ECONOMIA,248000.0,1,False,2021-12-31,2025-11-11,Obra,Construção,CIPI,,,0
68360.42-62,703545 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - ARABUTÃ/SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,6202.87,1,False,2011-07-06,2012-05-14,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
21219.42-21,Cobertura em estrutura metálica - cobertura das passarelas,Concluída,"INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE",49460.0,1,False,2023-05-02,2023-05-31,Obra,Construção,CIPI,-27.030358733846597,-50.91799641163111,1
127520.42-00,Sedec - Execução de obras e serviços em áreas de risco de desastres com caráter preventivo que visem evitar ou reduzir os danos decorrentes de possíveis desastres 59000.000652/2000-03,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,10292.0,1,False,2000-11-16,2004-05-23,Obra,Construção,CIPI,-27.0179000229093,-50.975,1
69777.42-86,700242/11 - EE Inf Criança Feliz - Ampl - Palma Sola/SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,6864.54,1,False,2012-06-18,2013-06-13,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
86178.42-36,LOTEAMENTO MENEGUETTI IV,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2018-06-04,2020-06-25,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
111109.42-20,Sedec - Recuperação de Infraestrutura afetada por desastre SEI  59050.001157/2014-13,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,69750.13,1,False,2016-11-09,2018-11-08,Obra,Recuperação,CIPI,-27.388330023541,-51.77278,1
114313.42-52,Sedec - Recuperação de Infraestrutura afetada por desastre SEI 59053.009279/2023-19,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,719600.15,1,False,2024-03-25,2026-09-15,Obra,Recuperação,CIPI,-27.5058300237414,-48.94722,1
127952.42-00,Sedec - Recuperação de Infraestrutura afetada por desastre 59050.000134/2011-49,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,121459.94,1,False,2012-05-15,2014-11-14,Obra,Recuperação,CIPI,-28.6548000256961,-49.2133,1
114610.42-08,Sedec - Recuperação de Infraestrutura afetada por desastre SEI 59053.001563/2018-80,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,229969.88,1,False,2019-06-26,2021-09-17,Obra,Recuperação,CIPI,-26.9350000227679,-49.05611,1
24342.42-54,PAVIMENTAÇÃO ASFÁLTICA DA RUA HENRIQUE BOITEUX,Concluída,MINISTERIO DA ECONOMIA,358661.35,1,False,2021-08-19,2025-04-19,Obra,Construção,Transferegov.br,-27.23987,-48.6175,1
70505.42-34,CRECHE BAIRRO INDUSTRIAL N° 1,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2012-02-06,2013-12-17,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
21313.42-71,NR -10 - Campus Avançado de Sombrio,Cadastrada,"INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE",421275.28,1,False,2023-05-01,2023-12-01,Obra,Construção,CIPI,-29.1018684164779,-49.63871038856823,1
118956.42-80,"DRENAGEM, PAVIMENTAÇÃO E URBANIZAÇÃO DE VIAS NO MUNICÍPIO DE BOMBINHAS/SC",Em execução,MINISTERIO DA ECONOMIA,499455.38,1,False,2021-11-12,2025-06-30,Obra,Construção,CIPI,,,0
127954.42-00,Sedec - Recuperação de Infraestrutura afetada por desastre 59050.000100/2011-54,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,106219.43,1,False,2012-12-18,2015-12-12,Obra,Recuperação,CIPI,-28.8480000260232,-49.7772,1
59423.42-30,Obras de Consolidação da Fortaleza de Nossa Senhora da Conceição de Araçatuba,Cadastrada,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,18000000.0,1,False,2025-06-30,2026-06-30,Obra,Recuperação,CIPI,-27.8415200243136,-48.57417,1
40399.42-09,Escola Integral,Em execução,MINISTERIO DA ECONOMIA,10416527.48,1,False,2024-07-04,2027-07-04,Obra,Construção,Transferegov.br,-26.56779,-52.33484,1
128335.42-28,Execução de Pavimentação Asfáltica Santo Antônio Trecho II,Cadastrada,MINISTERIO DA ECONOMIA,630929.8,1,False,2026-03-14,2029-03-14,Obra,Construção,Transferegov.br,-27.03766,-49.38806,1
84773.42-35,Escola Isolada Nossa Senhora de Lourdes - Anita Garibaldi - SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2016-02-25,2020-02-13,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
100354.42-41,URBANIZACAO DE ASSENTAMENTOS PRECARIOS,Concluída,MINISTÉRIO DAS CIDADES,14466331.16,1,False,2008-04-10,2025-06-25,Obra,Construção,SIMEC-MCID,-26.30451,-48.8494,1
84799.42-98,EBM LOT. JARDIM EUROPA,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2018-09-24,2024-12-09,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
60645.42-71,PAVIMENTAÇÃO ESTRADA RIO CASA DE PEDRA,Cadastrada,MINISTERIO DA ECONOMIA,4000000.0,1,False,2025-06-09,2029-06-09,Obra,Construção,Transferegov.br,-26.30655,-49.56454,1
25721.42-45,Pavimentação da Rua Francisco A. dos Santos,Concluída,MINISTERIO DA ECONOMIA,307721.42,1,False,2021-09-08,2024-09-09,Obra,Construção,Transferegov.br,,,0
54656.42-21,CONSTRUÇÃO DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,Cadastrada,FUNDO NACIONAL DE SAUDE,2208000.0,1,False,2024-04-06,2024-05-04,Obra,Construção,SISMOB,-27.269423,-48.86098,1
134284.42-83,Elaboração de projetos básicos e executivos de engenharia na BR-282/SC,Cadastrada,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,3542327.9,1,False,2026-06-01,2028-05-25,Projeto,Recuperação,CIPI,-27.7373324767164,-50.01182893,1
67317.42-41,656386 - Esc. Educ. Infantil - Tipo B - - Construção - OURO VERDE/SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,18312.59,1,False,2010-05-05,2013-02-27,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
104937.42-41,Pavimentação de Estradas Vicinais no Município de Praia Grande/SC,Cadastrada,MINISTERIO DA ECONOMIA,956000.0,1,False,2025-12-09,2029-04-09,Obra,Construção,Transferegov.br,-29.15786,-49.93101,1
127622.42-59,Sedec - Recuperação de Infraestrutura afetada por desastre 59050.000918/2009-52,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,382361.52,1,False,2009-06-05,2010-05-30,Obra,Recuperação,CIPI,-26.3296900217375,-48.78138,1
100920.42-84,SEGUNDA ETAPA DO PROGRAMA DE DESENVOLVIMENTO URBANO EM URUPE             MA SC - PRO-CIDADES,Em execução,MINISTÉRIO DAS CIDADES,2029138.83,1,False,2022-06-29,1900-01-01,Obra,Construção,SIMEC-MCID,-27.95268,-49.87321,1
37108.42-14,"Pavimentação de Estrada Vicinal da Colônia São João, no Município de Itaiópolis/SC",Cadastrada,MINISTERIO DA ECONOMIA,40000000.0,1,False,2024-05-21,2027-08-21,Obra,Construção,Transferegov.br,-26.39489,-49.99388,1
117464.42-51,"Restauraçao e Revitalização Terminal Turístico Naval de São Francisco do Sul/SC, qualificando urbanisticamente esta edificação às margens da Baía Babitonga, estrutura que serve de apio ao Turismo Cult",Concluída,MINISTERIO DA ECONOMIA,1131926.43,1,False,2019-12-27,2023-04-28,Obra,Construção,CIPI,,,0
66484.42-12,700096 - Espaço Educativo Urbano II - Fraiburgo/SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,781600.0,1,False,2010-07-19,2012-12-31,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
17824.42-50,Qualificação viária no município de Balneário Piçarras - Bairro Itacolomi,Cadastrada,MINISTERIO DA ECONOMIA,2080000.0,1,False,2022-12-29,2023-12-29,Obra,Construção,Transferegov.br,-26.73785,-48.69377,2
15319.42-36,"CR 909429/2020 - PAVIMENTAÇÃO DE ACESSO AO MUSEU DE ARQUEOLOGIA EM LOMBA ALTA, ALFREDO WAGNER-SC - 2° ETAPA.",Concluída,MINISTERIO DA ECONOMIA,303880.95,1,False,2020-12-31,2024-08-30,Obra,Construção,Transferegov.br,-27.74111,-49.39138,1
98711.42-65,SANEAMENTO INTEGRADO CIDADE NOVA E PARQUE LINEAR NO ITAJAI  MIRIM AGUA ESGOTO DRENAGEM AMORT CHEIAS PROD UH PAVIMENTO,Em execução,MINISTÉRIO DAS CIDADES,33929612.39,1,False,2013-11-19,2026-03-15,Obra,Construção,SIMEC-MCID,-26.90742,-48.65702,1
109915.42-09,APOIO A PROJETO DE INFRAESTRUTURA TURÍSTICA - Reforma e Revitalização do Museu Nacional de Imigração e Colonização – Joinville - SC.,Cancelada,MINISTERIO DA ECONOMIA,1010500.0,1,False,2018-08-28,2021-06-30,Obra,Construção,CIPI,,,0
114512.42-31,Sedec - Recuperação de Infraestrutura afetada por desastre SEI 59053.000861/2017-71,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,148320.31,1,False,2018-04-18,2020-03-30,Obra,Recuperação,CIPI,-27.5161100237589,-49.76861,1
11790.42-13,Reforma do Auditório (CA04) e do Refeitório (CA02) e Construção do Bloco de Ligação com Elevador (CA03) no Colégio de Aplicação,Concluída,UNIVERSIDADE FEDERAL DE SANTA CATARINA,2596320.08,1,False,2022-11-16,2024-03-09,Obra,Reforma,CIPI,-27.59993922367595,-48.52481602409259,3
74710.42-02,PAC 2 - Cobertura de Quadra Escolar 054,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2014-12-18,2018-12-10,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
130886.42-65,Pavimentação de estrada vicinal no Município de São José do Cedro/SC,Cadastrada,MINISTERIO DA ECONOMIA,400000.0,1,False,2026-05-07,2029-05-07,Obra,Construção,Transferegov.br,-26.46517,-53.49872,1
127863.42-44,Sedec - Recuperação de Infraestrutura afetada por desastre 59050.001342/2011-65,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,146083.16,1,False,2012-01-23,2019-01-05,Obra,Recuperação,CIPI,-27.8054000242521,-48.9777,1
134958.42-47,Readequação de edificação para implantação do Centro de Apoio ao Turista (CAT) no município de Modelo,Cadastrada,MINISTERIO DA ECONOMIA,493000.0,1,False,2026-08-05,2029-08-04,Obra,Construção,Transferegov.br,-26.77627,-53.05415,1
19086.42-20,CONSTRUÇÃO DE COBERTURA NA CANCHA DE LAÇO DO PARQUE DE EXPOSIÇÕES,Concluída,MINISTERIO DA ECONOMIA,297646.4,1,False,2019-11-26,2023-01-26,Obra,Construção,Transferegov.br,-27.95757,-49.58827,1
133437.42-04,Construção de praça no município de Irani/SC,Cadastrada,MINISTERIO DA ECONOMIA,500000.0,1,False,2026-06-01,2028-07-31,Obra,Construção,Transferegov.br,-27.02294,-51.89341,1
82098.42-66,CEI JARDIM GERMÂNICO,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2023-05-25,2025-01-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
71873.42-76,CEI Antonio Lima,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2016-01-05,2018-08-31,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
70917.42-07,QUADRA GEORGINA RAMOS DA LUZ,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2013-05-10,2014-10-10,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
111365.42-00,Sedec - Recuperação de Infraestrutura afetada por desastre 59050.000961/2013-02,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,14819.39,1,False,2014-03-05,2017-05-31,Obra,Recuperação,CIPI,-29.1092800264644,-49.63435,1
102535.42-55,Construção da 3ª etapa do Centro de Eventos.,Concluída,MINISTERIO DA ECONOMIA,298899.0,1,False,2019-11-22,2023-04-18,Obra,Construção,Transferegov.br,-26.83911,-52.98852,1
38345.42-30,Pavimentação com saibro,Cadastrada,MINISTERIO DA ECONOMIA,700000.0,1,False,2024-07-01,2027-07-01,Obra,Recuperação,Transferegov.br,-29.01972,-49.69888,1
88357.42-60,16 00213/2014,Concluída,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,7422371.92,1,False,2014-06-10,2016-12-09,Obra,Construção,SUPRA,-27.5969,-48.5495,1
4931.42-00,REFORMA DA ENFERMARIA DO CAMPUS CAMBORIÚ,Cadastrada,"INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE",300000.0,1,False,2021-12-10,2022-03-10,Obra,Reforma,CIPI,,,0
94980.42-70,Implantação da Rede de Distribuição de Água Potável,Cadastrada,MINISTERIO DA ECONOMIA,3000000.0,1,False,2025-12-31,2026-12-31,Obra,Construção,Transferegov.br,-27.18997,-51.34285,1
85021.42-88,CONSTRUÇÃO ESCOLA EBM ANTÔNIO PAGLIA - Ponte Serrada - SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2018-01-16,2021-04-20,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
6539.42-62,Instalação de Estação de Tratamento de Água - ETA,Cadastrada,"INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE",584714.47,1,False,2022-09-05,2023-01-31,Obra,Construção,CIPI,,,0
66915.42-99,656383 - Esc. Educ. Infantil - Tipo C - Construção - CORONEL MARTINS/SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,6910.59,1,False,2010-10-15,2011-10-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
45172.42-69,Sedec - Recuperação de Infraestrutura afetada por desastre 59053.014011/2024-80,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,982621.3,1,False,2025-09-11,2026-09-11,Obra,Recuperação,CIPI,-27.3008300233917,-48.91083,1
111142.42-27,Sedec - Recuperação de Infraestrutura afetada por desastre SEI  59050.000474/2015-01,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,42413.0,1,False,2015-06-19,2016-03-14,Obra,Recuperação,CIPI,-26.8668100226517,-52.41803,1
40284.42-01,CEU da Cultura - Blumenau,Cancelada,MINISTERIO DA ECONOMIA,2578622.0,1,False,2024-10-14,2027-10-14,Obra,Construção,Transferegov.br,-26.91032,-49.04432,1
99130.42-83,Construção de Campo de Futebol Sete no Município de Penha SC,Cadastrada,MINISTERIO DA ECONOMIA,500000.0,1,False,2025-11-24,2028-11-18,Obra,Construção,Transferegov.br,-26.76926,-48.64634,1
109310.42-08,IMPLANTAÇÃO DE ACADEMIA DA SAÚDE,Concluída,FUNDO NACIONAL DE SAUDE,125000.0,1,False,2020-05-21,2022-12-03,Obra,Construção,SISMOB,-27.041812,-49.391637,1
30037.42-08,PAVIMENTAÇÃO ASFALTICA EM VIAS URBANAS DO MUNICIPIO DE CUNHA PORÃ -SC,Concluída,MINISTERIO DA ECONOMIA,439597.19,1,False,2023-12-28,2026-12-28,Obra,Construção,Transferegov.br,-26.90324,-53.16741,1
12449.42-59,"Recuperação das Rodovias dos Mineiros, Rony Zaniboni, UR-32, UR-37, SC 445, e João Quintino Thomaz",Concluída,MINISTERIO DA ECONOMIA,955955.96,1,False,2019-12-19,2023-06-30,Obra,Construção,Transferegov.br,-28.43534,-49.29332,1
12970.42-14,PAVIMENTAÇÃO RUAS AFONSO BACK E EDELBERTO BACK,Concluída,MINISTERIO DA ECONOMIA,291500.88,1,False,2021-12-30,2024-09-30,Obra,Construção,Transferegov.br,-28.163,-48.97698,1
31891.42-28,Pavimentação das Ruas Frei Alexandre e Rua Jurê Antonio Cassetari,Cadastrada,MINISTERIO DA ECONOMIA,478194.42,1,False,2023-12-30,2026-12-30,Obra,Construção,Transferegov.br,-28.33918,-49.62996,1
100304.42-70,Obras de Infraestrutura  Producao de 150 UH pelo OGU  Melhoria de 30 UH  Equip Comunitario 1 quadra poliesportiva  180,Concluída,MINISTÉRIO DAS CIDADES,7499208.56,1,False,2012-11-19,2024-12-30,Obra,Construção,SIMEC-MCID,-26.23,-51.0816,1
20910.42-62,Pavimentação de Estrada Rural,Cadastrada,MINISTERIO DA ECONOMIA,1500000.0,1,False,2023-04-04,2025-04-30,Obra,Construção,Transferegov.br,-28.01542,-48.65734,1
68359.42-92,702571/10 - Esc. Educ. Infantil - Tipo C - ANTÔNIO CARLOS/SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,6190.0,1,False,2011-09-05,2012-03-03,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
115245.42-13,Construção de infraestrutura urbana para adequação de espaços de interesse turístico no Município de Piratuba - SC,Cancelada,MINISTERIO DA ECONOMIA,248300.0,1,False,2019-12-09,2022-12-09,Obra,Construção,CIPI,,,0
111172.42-96,Sedec - Recuperação de Infraestrutura afetada por desastre 59050.001105/2014-47,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,333714.25,1,False,2015-12-23,2016-12-21,Obra,Recuperação,CIPI,-26.4291100219065,-49.24005,1
127820.42-92,Pavimentação de Estradas Vicinais no Município de Itajaí/SC,Cadastrada,MINISTERIO DA ECONOMIA,4825000.0,1,False,2026-05-27,2030-05-27,Obra,Construção,Transferegov.br,-26.85687,-48.75923,1
68387.42-71,703411 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - MAJOR VIEIRA/SC,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,5775.23,1,False,2012-03-23,2012-09-19,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
71621.42-00,CRECHE SEARA,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2011-12-20,2015-03-09,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
71225.42-23,CRECHE MUNICIPAL TIPO C,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2012-02-13,2017-03-30,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
20735.42-12,Pavimentação Rua Marco Ross,Concluída,MINISTERIO DA ECONOMIA,481585.59,1,False,2021-11-12,2025-09-15,Obra,Construção,Transferegov.br,,,0
111446.42-00,Sedec - Execução de obras e serviços em áreas de risco de desastres com caráter preventivo que visem evitar ou reduzir os danos decorrentes de possíveis desastres 59204.007075/2017-24,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,1217.26,1,False,2018-07-06,2019-07-05,Obra,Construção,CIPI,-27.5023600237354,-50.15987,1
44276.43-08,Sedec - Recuperação de Infraestrutura afetada por desastre 59053.002704/2019-62,Cadastrada,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,139979.0,1,False,2020-08-12,2021-08-11,Obra,Recuperação,CIPI,-27.3997200235604,-49.70944,1
71403.42-32,Creche do Loteamento Santa Regina-Rua Augusto Cugnier-Espinheiros,Concluída,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,0.01,1,True,2011-11-17,2012-11-11,Obra,Reforma,SIMEC-FNDE,-27.59667,-48.54944,1
